연번,종류,시·도 명칭,시·군·구,구조/비구조,재해유형,위험/관리,위험지구명,대표지번(위치),저감대책 사업명,총사업비(백만),투자우선순위,시행주체,관련부처,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년,2025년,2026년,2027년,2028년,2029년,2030년,2031년,2032년,2033년,2034년,2035년,2036년,수립일,수립차수,반영 및 시행,Unnamed: 41,Unnamed: 42,Unnamed: 43,정규화_지번주소,도로명_주소,Latitude,Longitude
1,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,탑천3,임피면 영창리 1190-9,,"32,756",35,전라북도 (물통합관리과),환경부,,,,,,,,,,,,,, - , - , - , - , - ,"6,551","6,551","6,551","6,551","6,552",,수립중,2,,,,,전북특별자치도 군산시 임피면 영창리 1190-9,,35.97133585,126.8808816
2,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,미제천2,회현면 월연리401-33,,"36,843",30,전라북도 (물통합관리과),환경부,,,,,,,,,,,,,, - , - , - , - , - ,"7,369","7,369","7,369","7,369","7,367",,수립중,2,,,,,전북특별자치도 군산시 회현면 월연리 401-33,전북특별자치도 군산시 회현면 하포로 678-21,35.90377435,126.7261563
3,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,미제천3,옥구읍 오곡리847,,"24,888",29,전라북도 (물통합관리과),환경부,,,,,,,,,,,,,, - , - , - , - , - ,"4,978","4,978","4,978","4,978","4,976",,수립중,2,,,,,전북특별자치도 군산시 옥구읍 오곡리 847,,35.91950305,126.7013691
4,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,미제천4,미룡동 900-1,,"2,165",16,전라북도 (물통합관리과),환경부,,,,,,,,,,,,,, - , - , - , - , - ,722,722,721, - , - ,,수립중,2,,,,,전북특별자치도 군산시 미룡동 900-1,,35.94183366,126.6901826
5,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,옥회천,옥구읍 이곡리 292-18,옥회천 지방하천 종합정비사업,"84,921",6,전라북도 (물통합관리과),환경부,,,,,,,,,,,,,,"16,984","16,984","16,984","16,984","16,985", - , - , - , - , - ,,수립중,2,사업중,,,,전북특별자치도 군산시 옥구읍 이곡리 292-18,전북특별자치도 군산시 옥구읍 하포로 450,35.92003697,126.729113
6,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,옥산천,옥산면 당북리 20-10,,"10,680",51,군산시(안전총괄과),행정안전부,,,,,,,,,,,,,, - , - , - , - , - ,"2,136","2,136","2,136","2,136","2,136",,수립중,2,,,,,전북특별자치도 군산시 옥산면 당북리 20-10,,35.95127095,126.7303005
7,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,둔기천,나포면 옥곤리 961-11,,"2,723",33,군산시(안전총괄과),행정안전부,,,,,,,,,,,,,, - , - , - , - , - ,908,908,907, - , - ,,수립중,2,,,,,전북특별자치도 군산시 나포면 옥곤리 961-11,,36.02804847,126.8272865
8,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,불곡천,임피면 읍내리 102-6,,"3,480",33,군산시(안전총괄과),행정안전부,,,,,,,,,,,,,, - , - , - , - , - ,"1,160","1,160","1,160", - , - ,,수립중,2,,,,,전북특별자치도 군산시 임피면 읍내리 102-6,,35.98650252,126.839705
9,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,구곡천,서수면 서수리 2124-11,,"1,486",45,군산시(안전총괄과),행정안전부,,,,,,,,,,,,,, - , - , - , - , - , - , - , - ,743,743,,수립중,2,,,,,전북특별자치도 군산시 서수면 서수리 2124-11,,35.97885534,126.8674205
10,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,흔옥천,성산면 둔덕리 34-1,,"9,842",41,군산시(안전총괄과),행정안전부,,,,,,,,,,,,,, - , - , - , - , - , - ,"2,461","2,461","2,460","2,460",,수립중,2,,,,,전북특별자치도 군산시 성산면 둔덕리 34-1,전북특별자치도 군산시 성산면 둔덕2길 110-20,35.99148385,126.7773274
11,시군계획,전북특별자치도,군산시,구조적,하천재해,위험지구,상흥천,성산면 둔덕리 112-1,,"6,192",50,군산시(안전총괄과),행정안전부,,,,,,,,,,,,,, - , - , - , - , - , - ,"1,548","1,548","1,548","1,548",,수립중,2,,,,,전북특별자치도 군산시 성산면 둔덕리 112-1,,35.99776873,126.776345
